"Time","Value"
1734706959000,
1734706959500,
1734706960000,
1734706960500,
1734706961000,
1734706961500,
1734706962000,
1734706962500,
1734706963000,
1734706963500,
1734706964000,
1734706964500,
1734706965000,
1734706965500,
1734706966000,
1734706966500,
1734706967000,
1734706967500,
1734706968000,
1734706968500,
1734706969000,
1734706969500,
1734706970000,
1734706970500,
1734706971000,
1734706971500,588
1734706972000,
1734706972500,
1734706973000,
1734706973500,589
1734706974000,
1734706974500,
1734706975000,
1734706975500,598
1734706976000,
1734706976500,
1734706977000,602
1734706977500,
1734706978000,
1734706978500,
1734706979000,605
1734706979500,
1734706980000,
1734706980500,
1734706981000,608
1734706981500,
1734706982000,
1734706982500,
1734706983000,612
1734706983500,
1734706984000,
1734706984500,
1734706985000,616
1734706985500,
1734706986000,
1734706986500,618
1734706987000,
1734706987500,
1734706988000,
1734706988500,623
1734706989000,
1734706989500,
1734706990000,
1734706990500,625
1734706991000,
1734706991500,
1734706992000,
1734706992500,626
1734706993000,
1734706993500,
1734706994000,
1734706994500,629
1734706995000,
1734706995500,
1734706996000,630
1734706996500,
1734706997000,
1734706997500,
1734706998000,634
1734706998500,
1734706999000,
1734706999500,
1734707000000,635
1734707000500,
1734707001000,
1734707001500,
1734707002000,637
1734707002500,
1734707003000,
1734707003500,
1734707004000,641
1734707004500,
1734707005000,
1734707005500,
1734707006000,642
1734707006500,
1734707007000,
1734707007500,641
1734707008000,
1734707008500,
1734707009000,
1734707009500,645
1734707010000,
1734707010500,
1734707011000,
1734707011500,645
1734707012000,
1734707012500,
1734707013000,
1734707013500,645
1734707014000,
1734707014500,
1734707015000,647
1734707015500,
1734707016000,
1734707016500,
1734707017000,650
1734707017500,
1734707018000,
1734707018500,
1734707019000,652
1734707019500,
1734707020000,
1734707020500,
1734707021000,652
1734707021500,
1734707022000,
1734707022500,
1734707023000,655
1734707023500,
1734707024000,
1734707024500,656
1734707025000,
1734707025500,
1734707026000,
1734707026500,658
1734707027000,
1734707027500,
1734707028000,
1734707028500,656
1734707029000,
1734707029500,
1734707030000,
1734707030500,659
1734707031000,
1734707031500,
1734707032000,
1734707032500,658
1734707033000,
1734707033500,
1734707034000,659
1734707034500,
1734707035000,
1734707035500,
1734707036000,659
1734707036500,
1734707037000,
1734707037500,
1734707038000,662
1734707038500,
1734707039000,
1734707039500,
1734707040000,662
1734707040500,
1734707041000,
1734707041500,
1734707042000,664
1734707042500,
1734707043000,
1734707043500,662
1734707044000,
1734707044500,
1734707045000,
1734707045500,663
1734707046000,
1734707046500,
1734707047000,
1734707047500,665
1734707048000,
1734707048500,
1734707049000,
1734707049500,668
1734707050000,
1734707050500,
1734707051000,
1734707051500,668
1734707052000,
1734707052500,
1734707053000,668
1734707053500,
1734707054000,
1734707054500,
1734707055000,668
1734707055500,
1734707056000,
1734707056500,
1734707057000,667
1734707057500,
1734707058000,
1734707058500,
1734707059000,670
1734707059500,
1734707060000,
1734707060500,
1734707061000,669
1734707061500,
1734707062000,
1734707062500,672
1734707063000,
1734707063500,
1734707064000,
1734707064500,673
1734707065000,
1734707065500,
1734707066000,
1734707066500,669
1734707067000,
1734707067500,
1734707068000,
1734707068500,672
1734707069000,
1734707069500,
1734707070000,
1734707070500,672
1734707071000,
1734707071500,
1734707072000,674
1734707072500,
1734707073000,
1734707073500,
1734707074000,673
1734707074500,
1734707075000,
1734707075500,
1734707076000,672
1734707076500,
1734707077000,
1734707077500,
1734707078000,673
1734707078500,
1734707079000,
1734707079500,
1734707080000,673
1734707080500,
1734707081000,
1734707081500,673
1734707082000,
1734707082500,
1734707083000,
1734707083500,675
1734707084000,
1734707084500,
1734707085000,
1734707085500,676
1734707086000,
1734707086500,
1734707087000,
1734707087500,675
1734707088000,
1734707088500,
1734707089000,
1734707089500,678
1734707090000,
1734707090500,
1734707091000,675
1734707091500,
1734707092000,
1734707092500,
1734707093000,676
1734707093500,
1734707094000,
1734707094500,
1734707095000,678
1734707095500,
1734707096000,
1734707096500,
1734707097000,677
1734707097500,
1734707098000,
1734707098500,
1734707099000,678
1734707099500,
1734707100000,
1734707100500,678
1734707101000,
1734707101500,
1734707102000,
1734707102500,677
1734707103000,
1734707103500,
1734707104000,
1734707104500,679
1734707105000,
1734707105500,
1734707106000,
1734707106500,680
1734707107000,
1734707107500,
1734707108000,
1734707108500,681
1734707109000,
1734707109500,
1734707110000,678
1734707110500,
1734707111000,
1734707111500,
1734707112000,682
1734707112500,
1734707113000,
1734707113500,
1734707114000,680
1734707114500,
1734707115000,
1734707115500,
1734707116000,682
1734707116500,
1734707117000,
1734707117500,
1734707118000,681
1734707118500,
1734707119000,
1734707119500,680
1734707120000,
1734707120500,
1734707121000,
1734707121500,682
1734707122000,
1734707122500,
1734707123000,
1734707123500,681
1734707124000,
1734707124500,
1734707125000,
1734707125500,681
1734707126000,
1734707126500,
1734707127000,
1734707127500,680
1734707128000,
1734707128500,
1734707129000,
1734707129500,682
1734707130000,
1734707130500,
1734707131000,682
1734707131500,
1734707132000,
1734707132500,
1734707133000,682
1734707133500,
1734707134000,
1734707134500,
1734707135000,682
1734707135500,
1734707136000,
1734707136500,
1734707137000,683
1734707137500,
1734707138000,
1734707138500,
1734707139000,684
1734707139500,
1734707140000,
1734707140500,684
1734707141000,
1734707141500,
1734707142000,
1734707142500,683
1734707143000,
1734707143500,
1734707144000,
1734707144500,684
1734707145000,
1734707145500,
1734707146000,
1734707146500,684
1734707147000,
1734707147500,
1734707148000,683
1734707148500,
1734707149000,
1734707149500,
1734707150000,
1734707150500,
1734707151000,
1734707151500,
1734707152000,
1734707152500,
1734707153000,
1734707153500,
1734707154000,
1734707154500,685
1734707155000,
1734707155500,
1734707156000,
1734707156500,
1734707157000,
1734707157500,
1734707158000,
1734707158500,
1734707159000,
1734707159500,
1734707160000,
1734707160500,
1734707161000,
1734707161500,
1734707162000,
1734707162500,
1734707163000,
1734707163500,
1734707164000,
1734707164500,
1734707165000,
1734707165500,
1734707166000,
1734707166500,
1734707167000,
1734707167500,
1734707168000,
1734707168500,
1734707169000,
1734707169500,
1734707170000,
1734707170500,
1734707171000,
1734707171500,
1734707172000,
1734707172500,
1734707173000,
1734707173500,
1734707174000,
1734707174500,
1734707175000,
1734707175500,
1734707176000,
1734707176500,
1734707177000,
1734707177500,
1734707178000,
1734707178500,
1734707179000,
1734707179500,
1734707180000,
1734707180500,
1734707181000,
1734707181500,
1734707182000,
1734707182500,
1734707183000,
1734707183500,
