orp,ph,ppm
580.9090909,8.5,0.2
600,8.4,0.2
650,8.109090909,0.2
665,8,0.2
700,7.7,0.2
720,7.5,0.2
750,7.15,0.2
760,7,0.2
800,6.5,0.2
,,
,,
624.5454545,8.5,0.6
650,8.390909091,0.6
700,8.05,0.6
705,8,0.6
750,7.5,0.6
788,7,0.6
800,6.85,0.6
825,6.5,0.6
,,
,,
650,8.5,1
700,8.23,1
725,8,1
750,7.75,1
770,7.5,1
800,7.1,1
805,7,1
840,6.5,1
,,
,,
680,8.5,2
700,8.4,2
750,8,2
790,7.5,2
800,7.38,2
825,7,2
850,6.59,2
855,6.5,2
,,
,,
,,
700,8.5,3
750,8.15,3
765,8,3
800,7.575,3
805,7.5,3
835,7,3
850,6.75,3
865,6.5,3
,,
,,
722,8.5,5
750,8.3,5
782,8,5
800,7.8,5
824,7.5,5
850,7.07,5
854,7,5
879,6.5,5
,,
,,
,,
739,8.5,7
750,8.42,7
797,8,7
800,7.97,7
835,7.5,7
850,7.25,7
862,7,7
885,6.5,7
,,
,,
753,8.5,10
800,8.11,10
810,8,10
846,7.5,10
850,7.45,10
871,7,10
895,6.5,10
